"A","songs","all","west","midwest","south","northeast","index","all3"
"128","Alligator",69,39,2,2,23,128,66
"129","The Last Time",69,26,11,13,17,129,67
"130","Lazy River Road",67,24,13,13,17,130,67
"131","And We Bid You Goodnight",66,31,9,6,20,131,66
"132","Black Muddy River",66,32,7,12,15,132,66
"133","Here Comes Sunshine",66,21,15,11,18,133,65
"134","Caution (Do Not Stop on Tracks)",65,38,5,0,15,134,58
"135","Comes a Time",65,18,16,6,21,135,61
"136","To Lay Me Down",64,27,6,9,19,136,61
"137","Smokestack Lightning",62,31,10,6,15,137,62
"138","It Hurts Me Too",59,23,9,1,15,138,48
"139","Quinn the Eskimo (The Mighty Quinn)",59,28,9,7,15,139,59
"140","The Race Is On",59,27,2,8,17,140,54
"141","Dear Mr. Fantasy",58,18,9,12,17,141,56
"142","Desolation Row",58,24,6,11,16,142,57
"143","Just Like Tom Thumb's Blues",58,17,12,10,19,143,58
"144","When Push Comes to Shove",58,31,6,6,15,144,58
"145","Day Job",57,22,3,11,21,145,57
"146","Liberty",56,21,13,9,13,146,56
"147","New Speedway Boogie",55,21,9,4,21,147,55
"148","In the Midnight Hour",54,32,2,1,19,148,54
"149","So Many Roads",54,18,8,12,15,149,53
"150","Death Don't Have No Mercy",52,35,3,4,10,150,52
"151","Spoonful",52,22,7,5,17,151,51
"152","Attics of My Life",51,17,7,3,23,152,50
"153","Mr. Charlie",51,9,5,0,15,153,29
"154","Deep Elem Blues",49,24,4,1,20,154,49
"155","Spanish Jam",49,17,2,5,20,155,44
"156","Let the Good Times Roll",47,21,5,7,13,156,46
"157","Feedback",46,30,5,2,9,157,46
"158","Weather Report Suite",46,15,6,9,13,158,43
"159","Cosmic Charlie",45,23,3,2,17,159,45
"160","Easy to Love You",45,11,11,5,17,160,44
"161","The Same Thing",45,19,7,5,13,161,44
"162","Easy Answers",44,16,8,7,13,162,44
"163","On the Road Again",44,26,2,4,10,163,42
"164","Sitting on Top of the World",44,21,7,0,12,164,40
"165","Easy Wind",43,23,1,2,16,165,42
"166","Eternity",43,13,9,7,14,166,43
"167","Never Trust a Woman",42,16,5,4,12,167,37
"168","Days Between",41,17,5,9,10,168,41
"169","Ripple",41,21,0,3,16,169,40
"170","The Weight",41,13,9,9,8,170,39
"171","Viola Lee Blues",41,27,1,0,10,171,38
"172","I'm a King Bee",40,20,3,1,16,172,40
"173","Maggie's Farm",40,16,5,7,8,173,36
"174","Sing Me Back Home",39,11,1,4,14,174,30
"175","Doin' That Rag",38,25,5,1,7,175,38
"176","Samba in the Rain",38,14,7,6,11,176,38
"177","The Monkey and the Engineer",38,21,0,3,12,177,36
"178","I Fought the Law",36,11,7,8,10,178,36
"179","Broken Arrow",35,16,5,5,9,179,35
"180","I Will Take You Home",34,13,4,7,10,180,34
"181","Dark Hollow",32,18,0,1,13,181,32
"182","Sunshine Daydream",32,13,3,4,10,182,30
"183","(I Can't Get No) Satisfaction",31,13,2,6,9,183,30
"184","Hey Jude",31,8,4,5,12,184,29
"185","New Potato Caboose",31,26,2,2,0,185,30
"186","Nobody's Fault but Mine",31,10,6,5,8,186,29
"187","Sunrise",30,11,4,8,5,187,28
"188","Tons of Steel",29,14,2,3,10,188,29
"189","Chinatown Shuffle",28,2,0,0,6,189,8
"190","From the Heart of Me",26,6,6,6,8,190,26
"191","Hey Pocky A-Way",25,11,2,2,9,191,24
"192","You Win Again",24,8,2,1,8,192,19
"193","Blow Away",23,7,4,5,7,193,23
"194","He Was a Friend of Mine",22,16,0,2,4,194,22
"195","We Can Run",22,10,2,5,5,195,22
"196","Just a Little Light",21,10,2,3,6,196,21
"197","Wave to the Wind",21,7,4,5,5,197,21
"198","Been All Around This World",20,11,0,3,5,198,19
"199","Funiculì funiculà",20,10,2,5,3,199,20
"200","Rain",20,8,4,2,6,200,20
"201","Lucy in the Sky With Diamonds",19,9,3,4,3,201,19
"202","Mason's Children",19,9,1,3,6,202,19
"203","Silver Threads and Golden Needles",19,8,3,0,8,203,19
"204","Built to Last",18,6,4,3,5,204,18
"205","Rosa Lee McFall",18,10,0,1,7,205,18
"206","Heaven Help the Fool",17,9,0,2,6,206,17
"207","If the Shoe Fits",17,8,2,3,4,207,17
"208","It's a Sin",17,11,3,1,2,208,17
"209","That Would Be Something",17,6,1,4,6,209,17
"210","Don't Need Love",16,6,2,3,5,210,16
"211","Oh Babe, It Ain't No Lie",16,11,0,1,2,211,14
"212","Gloria",15,7,2,2,3,212,14
"213","The Rub",15,5,1,0,9,213,15
"214","Wake Up Little Susie",14,6,1,0,7,214,14
"215","Wave That Flag",14,1,3,2,8,215,14
"216","You Ain't Woman Enough (To Take My Man)",14,3,4,0,7,216,14
"217","Cold Jordan",13,4,1,0,8,217,13
"218","Werewolves of London",13,2,4,2,4,218,12
"219","Baba O'Riley",12,6,1,2,3,219,12
"220","Born Cross-Eyed",12,11,0,1,0,220,12
"221","It's a Man's Man's Man's World",12,9,0,0,3,221,12
"222","Katie Mae",12,4,1,1,6,222,12
"223","The Stranger (Two Souls in Communion)",12,0,0,0,5,223,5
"224","Tomorrow Never Knows",12,6,1,2,3,224,12
"225","Childhood's End",11,3,4,1,3,225,11
"226","Mountains of the Moon",11,6,1,0,4,226,11
"227","Revolution",11,1,0,1,9,227,11
"228","She Belongs to Me",11,6,0,2,3,228,11
"229","Swing Low, Sweet Chariot",11,7,0,0,4,229,11
"230","Tomorrow Is Forever",10,2,4,1,3,230,10
"231","Unbroken Chain",10,2,2,4,2,231,10
